INFO 2026-05-13 01:19:33,054 autoreload 23740 7000 Watching for file changes with StatReloader
INFO 2026-05-13 01:26:47,648 log 23336 22456 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:47,648 log 23336 3720 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:47,649 log 23336 2604 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:47,648 log 23336 18492 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:47,648 log 23336 4488 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:47,659 log 23336 22456 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:47,662 log 23336 3720 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:26:47,663 log 23336 2604 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:26:47,664 log 23336 18492 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:47,667 log 23336 4488 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:47,669 log 23336 18612 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:26:47,673 log 23336 4488 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-05-13 01:26:52,307 log 23336 4488 "GET /admin/authentication/user/5/change/ HTTP/1.1" 200 33092
INFO 2026-05-13 01:26:52,350 log 23336 4488 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:26:58,498 log 23336 4488 "POST /admin/authentication/user/5/change/ HTTP/1.1" 302 0
INFO 2026-05-13 01:26:58,528 log 23336 4488 "GET /admin/authentication/user/ HTTP/1.1" 200 15731
INFO 2026-05-13 01:26:58,583 log 23336 4488 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:27:05,238 log 23336 4488 "GET /admin/authentication/user/add/ HTTP/1.1" 200 15644
INFO 2026-05-13 01:27:05,306 log 23336 4488 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:27:34,512 log 23336 4488 "POST /admin/authentication/user/add/ HTTP/1.1" 200 15889
INFO 2026-05-13 01:27:34,550 log 23336 4488 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-05-13 01:27:34,560 log 23336 18612 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-05-13 01:27:34,560 log 23336 2604 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-05-13 01:27:34,561 log 23336 3720 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-05-13 01:27:34,561 log 23336 18492 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-05-13 01:27:34,561 log 23336 22456 "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 304 0
INFO 2026-05-13 01:27:34,571 log 23336 18612 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-05-13 01:27:34,571 log 23336 2604 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-05-13 01:27:34,575 log 23336 22456 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2026-05-13 01:27:34,576 log 23336 4488 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:27:34,582 log 23336 4488 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-05-13 01:27:34,584 log 23336 22456 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-05-13 01:27:51,439 log 23336 22456 "POST /admin/authentication/user/add/ HTTP/1.1" 302 0
INFO 2026-05-13 01:27:51,505 log 23336 22456 "GET /admin/authentication/user/7/change/ HTTP/1.1" 200 33276
INFO 2026-05-13 01:27:51,554 log 23336 4488 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-05-13 01:27:51,555 log 23336 18492 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-05-13 01:27:51,556 log 23336 2604 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2026-05-13 01:27:51,557 log 23336 3720 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
